group_id,round_num,block_num,target,speaker_id,listener_id,selection,correct,parse_error
G01,23,3,page9-46,0,2,page9-46,True,False
G01,24,4,page9-46,1,0,page9-46,True,False
G01,24,4,page9-46,1,2,page9-46,True,False
G01,25,4,page7-255,1,0,page7-255,True,False
G01,25,4,page7-255,1,2,page7-255,True,False
G01,26,4,page7-107,1,0,page7-107,True,False
G01,26,4,page7-107,1,2,page7-107,True,False
G01,27,4,page-B,1,0,page-B,True,False
G01,27,4,page-B,1,2,page-B,True,False
G01,28,4,page5-28,1,0,page5-63,False,False
G01,28,4,page5-28,1,2,page7-26,False,False
G01,29,4,page3-35,1,0,page9-7,False,False
G01,29,4,page3-35,1,2,page3-35,True,False
G01,30,5,page9-46,2,0,page9-46,True,False
G01,30,5,page9-46,2,1,page-B,False,False
G01,31,5,page7-107,2,0,page7-107,True,False
G01,31,5,page7-107,2,1,page9-7,False,False
G01,32,5,page5-28,2,0,page5-63,False,False
G01,32,5,page5-28,2,1,page5-28,True,False
G01,33,5,page7-255,2,0,page7-255,True,False
G01,33,5,page7-255,2,1,page4-157,False,False
G01,34,5,page3-35,2,0,page3-35,True,False
G01,34,5,page3-35,2,1,page3-35,True,False
G01,35,5,page-B,2,0,page5-142,False,False
G01,35,5,page-B,2,1,page-B,True,False
G02,0,0,page-B,0,1,page5-64,False,False
G02,0,0,page-B,0,2,page9-46,False,False
G02,1,0,page3-35,0,1,page9-7,False,False
G02,1,0,page3-35,0,2,page7-255,False,False
G02,2,0,page7-107,0,1,page6-149,False,False
G02,2,0,page7-107,0,2,page5-28,False,False
G02,3,0,page7-255,0,1,page4-15,False,False
G02,3,0,page7-255,0,2,page5-142,False,False
G02,4,0,page9-46,0,1,page7-26,False,False
G02,4,0,page9-46,0,2,page5-63,False,False
G02,5,0,page5-28,0,1,page5-63,False,False
G02,5,0,page5-28,0,2,page4-15,False,False
G02,6,1,page3-35,1,0,page4-15,False,False
G02,6,1,page3-35,1,2,page5-63,False,False
G02,7,1,page7-107,1,0,page-B,False,False
G02,7,1,page7-107,1,2,page5-142,False,False
G02,8,1,page9-46,1,0,page4-157,False,False
G02,8,1,page9-46,1,2,page4-15,False,False
G02,9,1,page5-28,1,0,page5-64,False,False
G02,9,1,page5-28,1,2,page3-35,False,False
G02,10,1,page7-255,1,0,page6-149,False,False
G02,10,1,page7-255,1,2,page4-157,False,False
G02,11,1,page-B,1,0,page5-63,False,False
G02,11,1,page-B,1,2,page4-15,False,False
G02,12,2,page5-28,2,0,page6-149,False,False
G02,12,2,page5-28,2,1,page9-7,False,False
G02,13,2,page3-35,2,0,page7-255,False,False
G02,13,2,page3-35,2,1,page3-35,True,False
G02,14,2,page7-255,2,0,page4-157,False,False
G02,14,2,page7-255,2,1,page7-26,False,False
G02,15,2,page9-46,2,0,page5-64,False,False
G02,15,2,page9-46,2,1,page4-157,False,False
G02,16,2,page7-107,2,0,page6-149,False,False
G02,16,2,page7-107,2,1,page7-107,True,False
G02,17,2,page-B,2,0,page-B,True,False
G02,17,2,page-B,2,1,page-B,True,False
G02,18,3,page3-35,0,1,page9-7,False,False
G02,18,3,page3-35,0,2,page5-63,False,False
G02,19,3,page-B,0,1,page-B,True,False
G02,19,3,page-B,0,2,page-B,True,False
G02,20,3,page9-46,0,1,page9-7,False,False
G02,20,3,page9-46,0,2,page4-157,False,False
G02,21,3,page7-255,0,1,page7-255,True,False
G02,21,3,page7-255,0,2,page6-149,False,False
G02,22,3,page5-28,0,1,page5-28,True,False
G02,22,3,page5-28,0,2,page5-28,True,False
G02,23,3,page7-107,0,1,page7-107,True,False
G02,23,3,page7-107,0,2,page5-63,False,False
G02,24,4,page7-107,1,0,page5-64,False,False
G02,24,4,page7-107,1,2,page7-26,False,False
G02,25,4,page3-35,1,0,page9-7,False,False
G02,25,4,page3-35,1,2,page5-63,False,False
G02,26,4,page5-28,1,0,page5-28,True,False
G02,26,4,page5-28,1,2,page5-28,True,False
G02,27,4,page-B,1,0,page6-149,False,False
G02,27,4,page-B,1,2,page-B,True,False
G02,28,4,page9-46,1,0,page4-157,False,False
G02,28,4,page9-46,1,2,page4-157,False,False
G02,29,4,page7-255,1,0,page7-255,True,False
G02,29,4,page7-255,1,2,page4-157,False,False
G02,30,5,page-B,2,0,page-B,True,False
G02,30,5,page-B,2,1,page-B,True,False
G02,31,5,page7-255,2,0,page4-15,False,False
G02,31,5,page7-255,2,1,page7-255,True,False
G02,32,5,page7-107,2,0,page7-107,True,False
G02,32,5,page7-107,2,1,page7-107,True,False
G02,33,5,page9-46,2,0,page6-149,False,False
G02,33,5,page9-46,2,1,page9-46,True,False
G02,34,5,page3-35,2,0,page9-7,False,False
G02,34,5,page3-35,2,1,page4-157,False,False
G02,35,5,page5-28,2,0,page5-28,True,False
G02,35,5,page5-28,2,1,page5-28,True,False
G03,0,0,page5-28,0,1,page7-255,False,False
G03,0,0,page5-28,0,2,page6-149,False,False
G03,1,0,page-B,0,1,page5-64,False,False
G03,1,0,page-B,0,2,page6-149,False,False
G03,2,0,page9-46,0,1,page5-64,False,False
G03,2,0,page9-46,0,2,page3-121,False,False
G03,3,0,page7-107,0,1,page7-107,True,False
G03,3,0,page7-107,0,2,page3-121,False,False
G03,4,0,page7-255,0,1,page6-149,False,False
G03,4,0,page7-255,0,2,page4-15,False,False
G03,5,0,page3-35,0,1,page5-63,False,False
G03,5,0,page3-35,0,2,page3-121,False,False
G03,6,1,page-B,1,0,page6-149,False,False
G03,6,1,page-B,1,2,page3-193,False,False
G03,7,1,page3-35,1,0,page3-35,True,False
G03,7,1,page3-35,1,2,page7-26,False,False
G03,8,1,page7-107,1,0,page7-107,True,False
G03,8,1,page7-107,1,2,page7-107,True,False
G03,9,1,page7-255,1,0,page7-255,True,False
G03,9,1,page7-255,1,2,page7-26,False,False
G03,10,1,page9-46,1,0,page4-157,False,False
G03,10,1,page9-46,1,2,page5-63,False,False
G03,11,1,page5-28,1,0,page3-121,False,False
G03,11,1,page5-28,1,2,page3-193,False,False
G03,12,2,page5-28,2,0,page3-193,False,False
G03,12,2,page5-28,2,1,page5-28,True,False
G03,13,2,page7-255,2,0,page7-255,True,False
G03,13,2,page7-255,2,1,page7-255,True,False
G03,14,2,page9-46,2,0,page9-7,False,False
G03,14,2,page9-46,2,1,page3-121,False,False
G03,15,2,page7-107,2,0,page7-107,True,False
G03,15,2,page7-107,2,1,page7-107,True,False
G03,16,2,page3-35,2,0,page3-35,True,False
G03,16,2,page3-35,2,1,page3-35,True,False
G03,17,2,page-B,2,0,page-B,True,False
G03,17,2,page-B,2,1,page5-142,False,False
G03,18,3,page5-28,0,1,page5-28,True,False
G03,18,3,page5-28,0,2,page5-28,True,False
G03,19,3,page9-46,0,1,page5-64,False,False
G03,19,3,page9-46,0,2,page9-46,True,False
G03,20,3,page7-255,0,1,page7-255,True,False
G03,20,3,page7-255,0,2,page7-255,True,False
G03,21,3,page3-35,0,1,page3-35,True,False
G03,21,3,page3-35,0,2,page3-35,True,False
G03,22,3,page-B,0,1,page-B,True,False
G03,22,3,page-B,0,2,page-B,True,False
G03,23,3,page7-107,0,1,page7-107,True,False
G03,23,3,page7-107,0,2,page7-107,True,False
G03,24,4,page9-46,1,0,page9-46,True,False
G03,24,4,page9-46,1,2,page9-46,True,False
G03,25,4,page5-28,1,0,page5-28,True,False
G03,25,4,page5-28,1,2,page5-28,True,False
G03,26,4,page-B,1,0,page-B,True,False
G03,26,4,page-B,1,2,page-B,True,False
G03,27,4,page7-107,1,0,page7-107,True,False
G03,27,4,page7-107,1,2,page7-107,True,False
G03,28,4,page7-255,1,0,page7-255,True,False
G03,28,4,page7-255,1,2,page7-255,True,False
G03,29,4,page3-35,1,0,page3-35,True,False
G03,29,4,page3-35,1,2,page3-35,True,False
G03,30,5,page7-255,2,0,page7-255,True,False
G03,30,5,page7-255,2,1,page7-255,True,False
G03,31,5,page7-107,2,0,page7-107,True,False
G03,31,5,page7-107,2,1,page7-107,True,False
G03,32,5,page9-46,2,0,page9-46,True,False
G03,32,5,page9-46,2,1,page9-46,True,False
G03,33,5,page5-28,2,0,page5-28,True,False
G03,33,5,page5-28,2,1,page5-28,True,False
G03,34,5,page-B,2,0,page-B,True,False
G03,34,5,page-B,2,1,page6-149,False,False
G03,35,5,page3-35,2,0,page3-35,True,False
G03,35,5,page3-35,2,1,page3-35,True,False
G04,0,0,page9-46,0,1,page5-142,False,False
G04,0,0,page9-46,0,2,page5-64,False,False
G04,1,0,page-B,0,1,page3-35,False,False
G04,1,0,page-B,0,2,page5-64,False,False
G04,2,0,page7-255,0,1,page5-142,False,False
G04,2,0,page7-255,0,2,page3-121,False,False
G04,3,0,page3-35,0,1,page4-15,False,False
G04,3,0,page3-35,0,2,page5-142,False,False
G04,4,0,page5-28,0,1,page5-142,False,False
G04,4,0,page5-28,0,2,page4-157,False,False
G04,5,0,page7-107,0,1,page7-107,True,False
G04,5,0,page7-107,0,2,page3-121,False,False
G04,6,1,page7-107,1,0,page7-107,True,False
G04,6,1,page7-107,1,2,page7-107,True,False
G04,7,1,page-B,1,0,page6-149,False,False
G04,7,1,page-B,1,2,page6-149,False,False
G04,8,1,page7-255,1,0,page5-63,False,False
G04,8,1,page7-255,1,2,page5-64,False,False
G04,9,1,page5-28,1,0,page5-28,True,False
G04,9,1,page5-28,1,2,page5-28,True,False
G04,10,1,page9-46,1,0,page9-46,True,False
G04,10,1,page9-46,1,2,page9-46,True,False
G04,11,1,page3-35,1,0,page9-7,False,False
G04,11,1,page3-35,1,2,page4-15,False,False
G04,12,2,page3-35,2,0,page3-35,True,False
G04,12,2,page3-35,2,1,page3-35,True,False
G04,13,2,page-B,2,0,page6-149,False,False
G04,13,2,page-B,2,1,page-B,True,False
G04,14,2,page7-107,2,0,page4-15,False,False
G04,14,2,page7-107,2,1,page7-107,True,False
G04,15,2,page9-46,2,0,page9-46,True,False
G04,15,2,page9-46,2,1,page4-157,False,False
G04,16,2,page5-28,2,0,page5-28,True,False
G04,16,2,page5-28,2,1,page5-28,True,False
G04,17,2,page7-255,2,0,page7-255,True,False
G04,17,2,page7-255,2,1,page7-255,True,False
G04,18,3,page5-28,0,1,page5-28,True,False
G04,18,3,page5-28,0,2,page5-28,True,False
G04,19,3,page7-107,0,1,page7-107,True,False
G04,19,3,page7-107,0,2,page3-121,False,False
G04,20,3,page7-255,0,1,page7-255,True,False
G04,20,3,page7-255,0,2,page7-255,True,False
G04,21,3,page9-46,0,1,page9-46,True,False
G04,21,3,page9-46,0,2,page9-46,True,False
G04,22,3,page3-35,0,1,page3-35,True,False
G04,22,3,page3-35,0,2,page3-35,True,False
G04,23,3,page-B,0,1,page-B,True,False
G04,23,3,page-B,0,2,page-B,True,False
G04,24,4,page7-107,1,0,page7-107,True,False
G04,24,4,page7-107,1,2,page7-107,True,False
G04,25,4,page-B,1,0,page-B,True,False
G04,25,4,page-B,1,2,page-B,True,False
G04,26,4,page3-35,1,0,page3-35,True,False
G04,26,4,page3-35,1,2,page5-142,False,False
G04,27,4,page9-46,1,0,page9-46,True,False
G04,27,4,page9-46,1,2,page9-46,True,False
G04,28,4,page5-28,1,0,page5-28,True,False
G04,28,4,page5-28,1,2,page5-64,False,False
G04,29,4,page7-255,1,0,page5-63,False,False
G04,29,4,page7-255,1,2,page7-255,True,False
G04,30,5,page7-107,2,0,page7-107,True,False
G04,30,5,page7-107,2,1,page7-107,True,False
G04,31,5,page7-255,2,0,page7-255,True,False
G04,31,5,page7-255,2,1,page7-255,True,False
G04,32,5,page3-35,2,0,page3-35,True,False
G04,32,5,page3-35,2,1,page3-35,True,False
G04,33,5,page5-28,2,0,page9-7,False,False
G04,33,5,page5-28,2,1,page5-28,True,False
G04,34,5,page9-46,2,0,page9-46,True,False
G04,34,5,page9-46,2,1,page9-46,True,False
G04,35,5,page-B,2,0,page-B,True,False
G04,35,5,page-B,2,1,page3-193,False,False
G05,0,0,page7-255,0,1,page4-157,False,False
G05,0,0,page7-255,0,2,page-B,False,False
G05,1,0,page9-46,0,1,page7-26,False,False
G05,1,0,page9-46,0,2,page3-121,False,False
G05,2,0,page-B,0,1,page6-149,False,False
G05,2,0,page-B,0,2,page5-64,False,False
G05,3,0,page7-107,0,1,page5-28,False,False
G05,3,0,page7-107,0,2,page6-149,False,False
G05,4,0,page3-35,0,1,page6-149,False,False
G05,4,0,page3-35,0,2,page5-28,False,False
G05,5,0,page5-28,0,1,page4-15,False,False
G05,5,0,page5-28,0,2,page3-193,False,False
G05,6,1,page7-107,1,0,page5-63,False,False
G05,6,1,page7-107,1,2,page5-142,False,False
G05,7,1,page3-35,1,0,page3-35,True,False
G05,7,1,page3-35,1,2,page3-35,True,False
G05,8,1,page-B,1,0,page5-63,False,False
G05,8,1,page-B,1,2,page5-63,False,False
G05,9,1,page5-28,1,0,page5-28,True,False
G05,9,1,page5-28,1,2,page5-28,True,False
G05,10,1,page9-46,1,0,page4-15,False,False
G05,10,1,page9-46,1,2,page9-46,True,False
G05,11,1,page7-255,1,0,page4-15,False,False
G05,11,1,page7-255,1,2,page4-157,False,False
G05,12,2,page3-35,2,0,page3-35,True,False
G05,12,2,page3-35,2,1,page3-35,True,False
G05,13,2,page9-46,2,0,page9-46,True,False
G05,13,2,page9-46,2,1,page9-46,True,False
G05,14,2,page5-28,2,0,page5-28,True,False
G05,14,2,page5-28,2,1,page4-15,False,False
G05,15,2,page7-107,2,0,page7-107,True,False
G05,15,2,page7-107,2,1,page7-107,True,False
G05,16,2,page7-255,2,0,page7-255,True,False
G05,16,2,page7-255,2,1,page5-64,False,False
G05,17,2,page-B,2,0,page-B,True,False
G05,17,2,page-B,2,1,page-B,True,False
G05,18,3,page7-255,0,1,page7-255,True,False
G05,18,3,page7-255,0,2,page7-255,True,False
G05,19,3,page7-107,0,1,page9-7,False,False
G05,19,3,page7-107,0,2,page7-107,True,False
G05,20,3,page3-35,0,1,page4-15,False,False
G05,20,3,page3-35,0,2,page3-35,True,False
G05,21,3,page9-46,0,1,page9-46,True,False
G05,21,3,page9-46,0,2,page9-46,True,False
G05,22,3,page5-28,0,1,page5-28,True,False
G05,22,3,page5-28,0,2,page5-28,True,False
G05,23,3,page-B,0,1,page-B,True,False
G05,23,3,page-B,0,2,page-B,True,False
G05,24,4,page7-107,1,0,page7-107,True,False
G05,24,4,page7-107,1,2,page5-142,False,False
G05,25,4,page-B,1,0,page-B,True,False
G05,25,4,page-B,1,2,page-B,True,False
G05,26,4,page9-46,1,0,page9-46,True,False
G05,26,4,page9-46,1,2,page3-121,False,False
G05,27,4,page7-255,1,0,page4-15,False,False
G05,27,4,page7-255,1,2,page4-157,False,False
G05,28,4,page3-35,1,0,page3-35,True,False
G05,28,4,page3-35,1,2,page3-35,True,False
G05,29,4,page5-28,1,0,page5-28,True,False
G05,29,4,page5-28,1,2,page5-28,True,False
G05,30,5,page9-46,2,0,page9-46,True,False
G05,30,5,page9-46,2,1,page9-46,True,False
G05,31,5,page7-255,2,0,page7-255,True,False
G05,31,5,page7-255,2,1,page4-15,False,False
G05,32,5,page-B,2,0,page5-64,False,False
G05,32,5,page-B,2,1,page5-64,False,False
G05,33,5,page5-28,2,0,page5-28,True,False
G05,33,5,page5-28,2,1,page5-28,True,False
G05,34,5,page7-107,2,0,page7-107,True,False
G05,34,5,page7-107,2,1,page7-107,True,False
G05,35,5,page3-35,2,0,page7-255,False,False
G05,35,5,page3-35,2,1,page3-35,True,False
G06,0,0,page-B,0,1,page4-15,False,False
G06,0,0,page-B,0,2,page3-121,False,False
G06,1,0,page3-35,0,1,page3-193,False,False
G06,1,0,page3-35,0,2,page4-157,False,False
G06,2,0,page7-255,0,1,page7-255,True,False
G06,2,0,page7-255,0,2,page5-64,False,False
G06,3,0,page9-46,0,1,page4-15,False,False
G06,3,0,page9-46,0,2,page5-63,False,False
G06,4,0,page7-107,0,1,page4-157,False,False
G06,4,0,page7-107,0,2,page4-15,False,False
G06,5,0,page5-28,0,1,page-B,False,False
G06,5,0,page5-28,0,2,page9-7,False,False
G06,6,1,page-B,1,0,page-B,True,False
G06,6,1,page-B,1,2,page4-15,False,False
G06,7,1,page7-107,1,0,page5-64,False,False
G06,7,1,page7-107,1,2,page7-107,True,False
G06,8,1,page9-46,1,0,page5-63,False,False
G06,8,1,page9-46,1,2,page4-15,False,False
G06,9,1,page7-255,1,0,page7-255,True,False
G06,9,1,page7-255,1,2,page7-255,True,False
G06,10,1,page5-28,1,0,page5-28,True,False
G06,10,1,page5-28,1,2,page5-28,True,False
G06,11,1,page3-35,1,0,page3-35,True,False
G06,11,1,page3-35,1,2,page3-193,False,False
G06,12,2,page7-255,2,0,page7-255,True,False
G06,12,2,page7-255,2,1,page5-64,False,False
G06,13,2,page9-46,2,0,page4-15,False,False
G06,13,2,page9-46,2,1,page9-46,True,False
G06,14,2,page7-107,2,0,page7-107,True,False
G06,14,2,page7-107,2,1,page7-107,True,False
G06,15,2,page-B,2,0,page-B,True,False
G06,15,2,page-B,2,1,page-B,True,False
G06,16,2,page3-35,2,0,page3-35,True,False
G06,16,2,page3-35,2,1,page3-35,True,False
G06,17,2,page5-28,2,0,page5-28,True,False
G06,17,2,page5-28,2,1,page5-28,True,False
G06,18,3,page9-46,0,1,page9-46,True,False
G06,18,3,page9-46,0,2,page5-142,False,False
G06,19,3,page5-28,0,1,page5-28,True,False
G06,19,3,page5-28,0,2,page9-7,False,False
G06,20,3,page7-107,0,1,page3-193,False,False
G06,20,3,page7-107,0,2,page7-26,False,False
G06,21,3,page3-35,0,1,page4-157,False,False
G06,21,3,page3-35,0,2,page3-35,True,False
G06,22,3,page7-255,0,1,page7-255,True,False
G06,22,3,page7-255,0,2,page7-255,True,False
G06,23,3,page-B,0,1,page-B,True,False
G06,23,3,page-B,0,2,page-B,True,False
G06,24,4,page3-35,1,0,page3-35,True,False
G06,24,4,page3-35,1,2,page3-193,False,False
G06,25,4,page7-255,1,0,page7-255,True,False
G06,25,4,page7-255,1,2,page5-64,False,False
G06,26,4,page9-46,1,0,page9-46,True,False
G06,26,4,page9-46,1,2,page9-46,True,False
G06,27,4,page-B,1,0,page-B,True,False
G06,27,4,page-B,1,2,page-B,True,False
G06,28,4,page7-107,1,0,page7-107,True,False
G06,28,4,page7-107,1,2,page7-107,True,False
G06,29,4,page5-28,1,0,page5-28,True,False
G06,29,4,page5-28,1,2,page5-28,True,False
G06,30,5,page-B,2,0,page-B,True,False
G06,30,5,page-B,2,1,page-B,True,False
G06,31,5,page3-35,2,0,page3-35,True,False
G06,31,5,page3-35,2,1,page3-35,True,False
G06,32,5,page9-46,2,0,page9-46,True,False
G06,32,5,page9-46,2,1,page9-46,True,False
G06,33,5,page7-107,2,0,page7-107,True,False
G06,33,5,page7-107,2,1,page7-107,True,False
G06,34,5,page5-28,2,0,page5-63,False,False
G06,34,5,page5-28,2,1,page5-28,True,False
G06,35,5,page7-255,2,0,page6-149,False,False
G06,35,5,page7-255,2,1,page7-255,True,False
G07,0,0,page7-107,0,1,page6-149,False,False
G07,0,0,page7-107,0,2,page5-142,False,False
G07,1,0,page9-46,0,1,page7-107,False,False
G07,1,0,page9-46,0,2,page9-46,True,False
G07,2,0,page7-255,0,1,page5-63,False,False
G07,2,0,page7-255,0,2,page5-64,False,False
G07,3,0,page-B,0,1,page5-63,False,False
G07,3,0,page-B,0,2,page7-26,False,False
G07,4,0,page5-28,0,1,page5-63,False,False
G07,4,0,page5-28,0,2,page9-7,False,False
G07,5,0,page3-35,0,1,page3-193,False,False
G07,5,0,page3-35,0,2,page5-63,False,False
G07,6,1,page7-255,1,0,page3-193,False,False
G07,6,1,page7-255,1,2,page5-63,False,False
G07,7,1,page-B,1,0,page-B,True,False
G07,7,1,page-B,1,2,page-B,True,False
G07,8,1,page7-107,1,0,page7-107,True,False
G07,8,1,page7-107,1,2,page5-142,False,False
G07,9,1,page3-35,1,0,page5-63,False,False
G07,9,1,page3-35,1,2,page5-28,False,False
G07,10,1,page5-28,1,0,page5-28,True,False
G07,10,1,page5-28,1,2,page5-28,True,False
G07,11,1,page9-46,1,0,page6-149,False,False
G07,11,1,page9-46,1,2,page9-46,True,False
G07,12,2,page7-255,2,0,page7-255,True,False
G07,12,2,page7-255,2,1,page7-255,True,False
G07,13,2,page5-28,2,0,page5-28,True,False
G07,13,2,page5-28,2,1,page5-28,True,False
G07,14,2,page9-46,2,0,page9-46,True,False
G07,14,2,page9-46,2,1,page9-46,True,False
G07,15,2,page-B,2,0,page-B,True,False
G07,15,2,page-B,2,1,page-B,True,False
G07,16,2,page7-107,2,0,page7-107,True,False
G07,16,2,page7-107,2,1,page7-107,True,False
G07,17,2,page3-35,2,0,page3-35,True,False
G07,17,2,page3-35,2,1,page5-63,False,False
G07,18,3,page9-46,0,1,page9-46,True,False
G07,18,3,page9-46,0,2,page9-46,True,False
G07,19,3,page7-107,0,1,page7-107,True,False
G07,19,3,page7-107,0,2,page7-107,True,False
G07,20,3,page5-28,0,1,page5-28,True,False
G07,20,3,page5-28,0,2,page5-28,True,False
G07,21,3,page7-255,0,1,page7-255,True,False
G07,21,3,page7-255,0,2,page7-255,True,False
G07,22,3,page3-35,0,1,page3-35,True,False
G07,22,3,page3-35,0,2,page3-35,True,False
G07,23,3,page-B,0,1,page-B,True,False
G07,23,3,page-B,0,2,page-B,True,False
G07,24,4,page5-28,1,0,page5-28,True,False
G07,24,4,page5-28,1,2,page5-28,True,False
G07,25,4,page7-107,1,0,page3-121,False,False
G07,25,4,page7-107,1,2,page7-107,True,False
G07,26,4,page3-35,1,0,page3-35,True,False
G07,26,4,page3-35,1,2,page3-35,True,False
G07,27,4,page-B,1,0,page-B,True,False
G07,27,4,page-B,1,2,page-B,True,False
G07,28,4,page9-46,1,0,page9-46,True,False
G07,28,4,page9-46,1,2,page9-46,True,False
G07,29,4,page7-255,1,0,page7-255,True,False
G07,29,4,page7-255,1,2,page7-255,True,False
G07,30,5,page7-107,2,0,page7-107,True,False
G07,30,5,page7-107,2,1,page7-107,True,False
G07,31,5,page3-35,2,0,page3-35,True,False
G07,31,5,page3-35,2,1,page3-35,True,False
G07,32,5,page9-46,2,0,page9-46,True,False
G07,32,5,page9-46,2,1,page9-46,True,False
G07,33,5,page-B,2,0,page3-193,False,False
G07,33,5,page-B,2,1,page-B,True,False
G07,34,5,page5-28,2,0,page5-28,True,False
G07,34,5,page5-28,2,1,page5-28,True,False
G07,35,5,page7-255,2,0,page5-64,False,False
G07,35,5,page7-255,2,1,page7-255,True,False
G08,0,0,page5-28,0,1,page3-35,False,False
G08,0,0,page5-28,0,2,page3-193,False,False
G08,1,0,page7-107,0,1,page7-26,False,False
G08,1,0,page7-107,0,2,page4-15,False,False
G08,2,0,page9-46,0,1,page4-157,False,False
G08,2,0,page9-46,0,2,page3-193,False,False
G08,3,0,page7-255,0,1,page5-64,False,False
G08,3,0,page7-255,0,2,page5-28,False,False
G08,4,0,page-B,0,1,page9-7,False,False
G08,4,0,page-B,0,2,page5-63,False,False
G08,5,0,page3-35,0,1,page6-149,False,False
G08,5,0,page3-35,0,2,page4-15,False,False
G08,6,1,page5-28,1,0,page9-7,False,False
G08,6,1,page5-28,1,2,page5-28,True,False
G08,7,1,page7-255,1,0,page5-64,False,False
G08,7,1,page7-255,1,2,page6-149,False,False
G08,8,1,page9-46,1,0,page9-46,True,False
G08,8,1,page9-46,1,2,page4-15,False,False
G08,9,1,page7-107,1,0,page5-142,False,False
G08,9,1,page7-107,1,2,page7-107,True,False
G08,10,1,page3-35,1,0,page3-35,True,False
G08,10,1,page3-35,1,2,page6-149,False,False
G08,11,1,page-B,1,0,page-B,True,False
G08,11,1,page-B,1,2,page7-26,False,False
G08,12,2,page-B,2,0,page-B,True,False
G08,12,2,page-B,2,1,page-B,True,False
G08,13,2,page9-46,2,0,page9-46,True,False
G08,13,2,page9-46,2,1,page9-46,True,False
G08,14,2,page7-255,2,0,page7-255,True,False
G08,14,2,page7-255,2,1,page7-255,True,False
G08,15,2,page5-28,2,0,page9-7,False,False
G08,15,2,page5-28,2,1,page5-63,False,False
G08,16,2,page3-35,2,0,page3-35,True,False
G08,16,2,page3-35,2,1,page3-35,True,False
G08,17,2,page7-107,2,0,page7-107,True,False
G08,17,2,page7-107,2,1,page7-107,True,False
G08,18,3,page5-28,0,1,page5-28,True,False
G08,18,3,page5-28,0,2,page5-28,True,False
G08,19,3,page7-107,0,1,page5-64,False,False
G08,19,3,page7-107,0,2,page5-64,False,False
G08,20,3,page-B,0,1,page-B,True,False
G08,20,3,page-B,0,2,page-B,True,False
G08,21,3,page7-255,0,1,page5-64,False,False
G08,21,3,page7-255,0,2,page5-64,False,False
G08,22,3,page9-46,0,1,page9-46,True,False
G08,22,3,page9-46,0,2,page4-15,False,False
G08,23,3,page3-35,0,1,page3-35,True,False
G08,23,3,page3-35,0,2,page4-15,False,False
G08,24,4,page9-46,1,0,page3-193,False,False
G08,24,4,page9-46,1,2,page9-46,True,False
G08,25,4,page7-255,1,0,page7-255,True,False
G08,25,4,page7-255,1,2,page7-255,True,False
G08,26,4,page5-28,1,0,page5-28,True,False
G08,26,4,page5-28,1,2,page5-28,True,False
G08,27,4,page-B,1,0,page-B,True,False
G08,27,4,page-B,1,2,page-B,True,False
G08,28,4,page7-107,1,0,page7-107,True,False
G08,28,4,page7-107,1,2,page7-107,True,False
G08,29,4,page3-35,1,0,page3-35,True,False
