group_id,round_num,block_num,target,speaker_id,description,word_count,accuracy,n_listeners_correct
G02,17,2,page7-107,2,"The figure looks like a house with a very steep roof, the house is on its side, and the roof is pointing to the right, but the house is very small, and the roof is very long.",37,0.0,0
G02,18,3,page3-35,0,"The figure looks like a diamond with a triangle on top. The diamond is pointing up, and the triangle is on the right.",23,0.0,0
G02,19,3,page9-46,0,The figure looks like a diamond with a triangle on top. The diamond is pointing to the left.,18,0.0,0
G02,20,3,page5-28,0,The figure looks like a diamond with a triangle on top. The diamond is pointing to the right.,18,0.0,0
G02,21,3,page-B,0,"The figure looks like a diamond with a triangle on top. The diamond is pointing to the right, and the triangle is on the left.",25,0.0,0
G02,22,3,page7-107,0,"The figure looks like a diamond with a triangle on top. The diamond is pointing down, and the triangle is on the left.",23,0.0,0
G02,23,3,page7-255,0,"The figure looks like a diamond with a triangle on top. The diamond is pointing to the left, and the triangle is on the right.",25,0.0,0
G02,24,4,page9-46,1,"Two triangles pointing up, one pointing down, small triangle on the left, but the small triangle is touching the bottom of the right triangle, and the left triangle is taller.",30,0.0,0
G02,25,4,page-B,1,"Two triangles pointing up, one pointing down, small triangle on the left, but the small triangle is touching the bottom of the right triangle, and the left triangle is shorter.",30,0.0,0
G02,26,4,page7-107,1,"Two triangles pointing up, one pointing down, small triangle on the left, but the small triangle is touching the bottom of the right triangle, and the left triangle is shorter, but the right triangle is also shorter.",37,0.5,1
G02,27,4,page3-35,1,"Two triangles pointing up, one pointing down, small triangle on the left, but the small triangle is touching the bottom of the right triangle, and the left triangle is shorter, but the right triangle is also shorter.",37,0.5,1
G02,28,4,page5-28,1,"Two triangles pointing up, one pointing down, small triangle on the left, touching the bottom of the right triangle, left triangle shorter, right triangle shorter.",25,0.0,0
G02,29,4,page7-255,1,"Two triangles pointing up, one pointing down, small triangle on the left, touching the bottom of the right triangle, left triangle shorter, right triangle shorter.",25,0.5,1
G02,30,5,page9-46,2,"The figure looks like a house with a very steep roof, the house is on its side, and the roof is pointing to the right. The house is very small, and the roof is very long, and the roof is almost touching the ground.",44,0.0,0
G02,31,5,page7-107,2,"The figure looks like a house with a very steep roof, the house is on its side, and the roof is pointing to the right. The house is very small, and the roof is very long, and the roof is almost touching the ground, and the house is on the bottom.",51,0.5,1
G02,32,5,page-B,2,"House on its side, roof pointing right, house very small, roof very long, roof almost touching the ground, house on the bottom. The roof is a triangle.",27,0.0,0
G02,33,5,page3-35,2,"House on its side, roof pointing right, house very small, roof very long, roof almost touching the ground, house on the bottom. The roof is a triangle, and the house is a square.",33,0.0,0
G02,34,5,page7-255,2,"House on its side, roof pointing right, house very small, roof very long, roof almost touching the ground, house on the bottom. The roof is a triangle, and the house is a square, and the roof is on the right.",40,0.0,0
G02,35,5,page5-28,2,"House on its side, roof pointing right, house very small, roof very long, roof almost touching the ground, house on the bottom. The roof is a triangle, and the house is a square.",33,0.0,0
